80hari_03_verne_128kb_0002|perdjalanannja itoe seolah olah seperti seboeah mesin lajaknja|perdjalanannja itoe seolah olah seperti seboeah mesin lajaknja
80hari_03_verne_128kb_0004|sampailah ia keroemah reform club di pall mall|sampailah ia keroemah reform club di pall mall
80hari_03_verne_128kb_0012|makanan paginja itoe jaitoe|makanan paginja itoe jaitoe
80hari_03_verne_128kb_0023|makanan itoe matjamnja sama djoega dengan makanan pada siang hari tadi|makanan itoe matjamnja sama djoega dengan makanan pada siang hari tadi
80hari_03_verne_128kb_0042|djadi pentjoerinja diketahoei orang tanda tandanja|djadi pentjoerinja diketahoei orang tanda tandanja
80hari_03_verne_128kb_0057|djadi ia ta  sempat akan mengamat amati hal lain lain jang mendjadi tanggoengannja itoe|djadi ia ta  sempat akan mengamat amati hal lain lain jang mendjadi tanggoengannja itoe
80hari_03_verne_128kb_0081|maka baharoelah ketahoean|maka baharoelah ketahoean
80hari_03_verne_128kb_0083|setelah njata diketahoei orang bahwa bank ketjoerian|setelah njata diketahoei orang bahwa bank ketjoerian
80hari_03_verne_128kb_0106|toean gauthier ralph ta  sjak lagi akan hal kesoedahan  penghabisan  orang mentjahari keterangan itoe dan iapoen berpikir djoega|toean gauthier ralph ta  sjak lagi akan hal kesoedahan  penghabisan  orang mentjahari keterangan itoe dan iapoen berpikir djoega
80hari_03_verne_128kb_0109|jang boléh menoendjoekkan pentjoerinja|jang boléh menoendjoekkan pentjoerinja
80hari_03_verne_128kb_0113|flanagan  fallentin dan fogg|flanagan  fallentin dan fogg
80hari_03_verne_128kb_0128|ja  doenia loeas dahoeloe kala|ja  doenia loeas dahoeloe kala
80hari_03_verne_128kb_0139|oléh karena itoe maka orangpoen dapat dengan moedah dan tjepat akan mentjahari keterangan|oléh karena itoe maka orangpoen dapat dengan moedah dan tjepat akan mentjahari keterangan
80hari_03_verne_128kb_0146|toean ralph sesoenggoehnja saja terpaksa akan mengatakan|toean ralph sesoenggoehnja saja terpaksa akan mengatakan
80hari_03_verne_128kb_0159|dengan   enam     jokohama ke san francisco dengan   dua puluh dua     san francisco ke new jork|dengan   enam     jokohama ke san francisco dengan   dua puluh dua     san francisco ke new jork
80hari_03_verne_128kb_0167|sambil berkata demikian itoe stuart memainkan troef atas kartoe jang terlaloe tinggi|sambil berkata demikian itoe stuart memainkan troef atas kartoe jang terlaloe tinggi
